drawing_date,ball1,ball2,ball3,ball4,ball5,star1,star2,prizes
2026-01-09,1,7,10,26,34,2,4,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 5378788025, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 11628500, 'winners': 6, 'specialPrize': 0}, 'rank3': {'prize': 1811840, 'winners': 9, 'specialPrize': 0}, 'rank4': {'prize': 112860, 'winners': 45, 'specialPrize': 0}, 'rank5': {'prize': 10080, 'winners': 928, 'specialPrize': 0}, 'rank6': {'prize': 5080, 'winners': 1945, 'specialPrize': 0}, 'rank7': {'prize': 3320, 'winners': 2090, 'specialPrize': 0}, 'rank8': {'prize': 1300, 'winners': 26684, 'specialPrize': 0}, 'rank9': {'prize': 960, 'winners': 40232, 'specialPrize': 0}, 'rank10': {'prize': 810, 'winners': 88601, 'specialPrize': 0}, 'rank11': {'prize': 650, 'winners': 133462, 'specialPrize': 0}, 'rank12': {'prize': 500, 'winners': 550548, 'specialPrize': 0}, 'rank13': {'prize': 370, 'winners': 1194409, 'specialPrize': 0}}, 'currency': 'EUR', 'next_jackpot': '64', 'current_jackpot': '53'}"
2026-01-06,5,14,17,18,31,10,12,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 4042178575, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank3': {'prize': 20484120, 'winners': 3, 'specialPrize': 0}, 'rank4': {'prize': 164820, 'winners': 22, 'specialPrize': 0}, 'rank5': {'prize': 12360, 'winners': 540, 'specialPrize': 0}, 'rank6': {'prize': 7010, 'winners': 1007, 'specialPrize': 0}, 'rank7': {'prize': 2930, 'winners': 1693, 'specialPrize': 0}, 'rank8': {'prize': 1820, 'winners': 13573, 'specialPrize': 0}, 'rank9': {'prize': 1210, 'winners': 22783, 'specialPrize': 0}, 'rank10': {'prize': 720, 'winners': 71070, 'specialPrize': 0}, 'rank11': {'prize': 910, 'winners': 68508, 'specialPrize': 0}, 'rank12': {'prize': 620, 'winners': 313379, 'specialPrize': 0}, 'rank13': {'prize': 320, 'winners': 962787, 'specialPrize': 0}}, 'currency': 'EUR', 'next_jackpot': '53', 'current_jackpot': '41'}"
2026-01-02,8,27,42,44,46,1,10,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 3087948925, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 18112730, 'winners': 4, 'specialPrize': 0}, 'rank3': {'prize': 1881440, 'winners': 9, 'specialPrize': 0}, 'rank4': {'prize': 142540, 'winners': 37, 'specialPrize': 0}, 'rank5': {'prize': 15690, 'winners': 619, 'specialPrize': 0}, 'rank6': {'prize': 7640, 'winners': 1344, 'specialPrize': 0}, 'rank7': {'prize': 4610, 'winners': 1563, 'specialPrize': 0}, 'rank8': {'prize': 1800, 'winners': 19962, 'specialPrize': 0}, 'rank9': {'prize': 1370, 'winners': 29286, 'specialPrize': 0}, 'rank10': {'prize': 970, 'winners': 76932, 'specialPrize': 0}, 'rank11': {'prize': 840, 'winners': 107521, 'specialPrize': 0}, 'rank12': {'prize': 650, 'winners': 435736, 'specialPrize': 0}, 'rank13': {'prize': 390, 'winners': 1161243, 'specialPrize': 0}}, 'currency': 'EUR', 'next_jackpot': '41', 'current_jackpot': '31'}"
2025-12-30,11,26,29,34,44,1,10,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 1700000000, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 53902750, 'winners': 1, 'specialPrize': 0}, 'rank3': {'prize': 2099660, 'winners': 6, 'specialPrize': 0}, 'rank4': {'prize': 178360, 'winners': 22, 'specialPrize': 0}, 'rank5': {'prize': 14660, 'winners': 493, 'specialPrize': 0}, 'rank6': {'prize': 7940, 'winners': 962, 'specialPrize': 0}, 'rank7': {'prize': 3820, 'winners': 1405, 'specialPrize': 0}, 'rank8': {'prize': 1820, 'winners': 14686, 'specialPrize': 0}, 'rank9': {'prize': 1290, 'winners': 23190, 'specialPrize': 0}, 'rank10': {'prize': 880, 'winners': 63325, 'specialPrize': 0}, 'rank11': {'prize': 860, 'winners': 77735, 'specialPrize': 0}, 'rank12': {'prize': 630, 'winners': 337455, 'specialPrize': 0}, 'rank13': {'prize': 370, 'winners': 918795, 'specialPrize': 0}}, 'jackpot': '17', 'currency': 'EUR', 'next_jackpot': '31', 'current_jackpot': '17'}"
2025-12-26,12,22,32,36,48,3,4,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 5402600700, 'winners': 1, 'specialPrize': 0}, 'rank2': {'prize': 7304520, 'winners': 9, 'specialPrize': 0}, 'rank3': {'prize': 1920580, 'winners': 8, 'specialPrize': 0}, 'rank4': {'prize': 208070, 'winners': 23, 'specialPrize': 0}, 'rank5': {'prize': 11000, 'winners': 801, 'specialPrize': 0}, 'rank6': {'prize': 6620, 'winners': 1407, 'specialPrize': 0}, 'rank7': {'prize': 3950, 'winners': 1654, 'specialPrize': 0}, 'rank8': {'prize': 1660, 'winners': 19713, 'specialPrize': 0}, 'rank9': {'prize': 1110, 'winners': 32786, 'specialPrize': 0}, 'rank10': {'prize': 1010, 'winners': 66857, 'specialPrize': 0}, 'rank11': {'prize': 740, 'winners': 110345, 'specialPrize': 0}, 'rank12': {'prize': 550, 'winners': 463404, 'specialPrize': 0}, 'rank13': {'prize': 440, 'winners': 939287, 'specialPrize': 0}}, 'jackpot': '53', 'currency': 'EUR', 'next_jackpot': '17', 'current_jackpot': '53'}"
2025-12-23,8,26,27,29,44,11,12,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 4143199990, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 9959330, 'winners': 6, 'specialPrize': 0}, 'rank3': {'prize': 1745740, 'winners': 8, 'specialPrize': 0}, 'rank4': {'prize': 197720, 'winners': 22, 'specialPrize': 0}, 'rank5': {'prize': 13050, 'winners': 614, 'specialPrize': 0}, 'rank6': {'prize': 8090, 'winners': 1046, 'specialPrize': 0}, 'rank7': {'prize': 4070, 'winners': 1459, 'specialPrize': 0}, 'rank8': {'prize': 1930, 'winners': 15398, 'specialPrize': 0}, 'rank9': {'prize': 1220, 'winners': 27189, 'specialPrize': 0}, 'rank10': {'prize': 810, 'winners': 75938, 'specialPrize': 0}, 'rank11': {'prize': 910, 'winners': 81923, 'specialPrize': 0}, 'rank12': {'prize': 610, 'winners': 382289, 'specialPrize': 0}, 'rank13': {'prize': 350, 'winners': 1073472, 'specialPrize': 0}}, 'jackpot': '40', 'currency': 'EUR', 'next_jackpot': '53', 'current_jackpot': '40'}"
2025-12-19,17,21,39,43,44,1,11,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 2998449295, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 33889520, 'winners': 2, 'specialPrize': 0}, 'rank3': {'prize': 2640180, 'winners': 6, 'specialPrize': 0}, 'rank4': {'prize': 290240, 'winners': 17, 'specialPrize': 0}, 'rank5': {'prize': 14040, 'winners': 647, 'specialPrize': 0}, 'rank6': {'prize': 8020, 'winners': 1197, 'specialPrize': 0}, 'rank7': {'prize': 4240, 'winners': 1589, 'specialPrize': 0}, 'rank8': {'prize': 1820, 'winners': 18490, 'specialPrize': 0}, 'rank9': {'prize': 1330, 'winners': 28182, 'specialPrize': 0}, 'rank10': {'prize': 960, 'winners': 72337, 'specialPrize': 0}, 'rank11': {'prize': 830, 'winners': 101590, 'specialPrize': 0}, 'rank12': {'prize': 640, 'winners': 417169, 'specialPrize': 0}, 'rank13': {'prize': 390, 'winners': 1095056, 'specialPrize': 0}}, 'jackpot': '29', 'currency': 'EUR', 'next_jackpot': '40', 'current_jackpot': '29'}"
2025-12-16,14,16,40,41,44,2,10,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 1700000000, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 48888090, 'winners': 1, 'specialPrize': 0}, 'rank3': {'prize': 1632270, 'winners': 7, 'specialPrize': 0}, 'rank4': {'prize': 222430, 'winners': 16, 'specialPrize': 0}, 'rank5': {'prize': 15680, 'winners': 418, 'specialPrize': 0}, 'rank6': {'prize': 7070, 'winners': 979, 'specialPrize': 0}, 'rank7': {'prize': 5260, 'winners': 925, 'specialPrize': 0}, 'rank8': {'prize': 1690, 'winners': 14388, 'specialPrize': 0}, 'rank9': {'prize': 1450, 'winners': 18645, 'specialPrize': 0}, 'rank10': {'prize': 1140, 'winners': 44138, 'specialPrize': 0}, 'rank11': {'prize': 740, 'winners': 81894, 'specialPrize': 0}, 'rank12': {'prize': 650, 'winners': 293965, 'specialPrize': 0}, 'rank13': {'prize': 440, 'winners': 693990, 'specialPrize': 0}}, 'jackpot': '17', 'currency': 'EUR', 'next_jackpot': '29', 'current_jackpot': '17'}"
2025-12-12,7,25,30,37,41,5,11,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 1700000000, 'winners': 1, 'specialPrize': 0}, 'rank2': {'prize': 16443720, 'winners': 4, 'specialPrize': 0}, 'rank3': {'prize': 3074530, 'winners': 5, 'specialPrize': 0}, 'rank4': {'prize': 184160, 'winners': 26, 'specialPrize': 0}, 'rank5': {'prize': 14430, 'winners': 611, 'specialPrize': 0}, 'rank6': {'prize': 6440, 'winners': 1447, 'specialPrize': 0}, 'rank7': {'prize': 4480, 'winners': 1460, 'specialPrize': 0}, 'rank8': {'prize': 1520, 'winners': 21430, 'specialPrize': 0}, 'rank9': {'prize': 1200, 'winners': 30341, 'specialPrize': 0}, 'rank10': {'prize': 990, 'winners': 68638, 'specialPrize': 0}, 'rank11': {'prize': 710, 'winners': 115000, 'specialPrize': 0}, 'rank12': {'prize': 560, 'winners': 457820, 'specialPrize': 0}, 'rank13': {'prize': 400, 'winners': 1031927, 'specialPrize': 0}}, 'jackpot': '17', 'currency': 'EUR', 'next_jackpot': '17', 'current_jackpot': '17'}"
2025-12-09,2,8,13,29,49,2,11,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 14243380400, 'winners': 1, 'specialPrize': 0}, 'rank2': {'prize': 11038170, 'winners': 7, 'specialPrize': 0}, 'rank3': {'prize': 1641690, 'winners': 11, 'specialPrize': 0}, 'rank4': {'prize': 122270, 'winners': 46, 'specialPrize': 0}, 'rank5': {'prize': 10670, 'winners': 971, 'specialPrize': 0}, 'rank6': {'prize': 5520, 'winners': 1982, 'specialPrize': 0}, 'rank7': {'prize': 3590, 'winners': 2143, 'specialPrize': 0}, 'rank8': {'prize': 1340, 'winners': 28586, 'specialPrize': 0}, 'rank9': {'prize': 1020, 'winners': 41793, 'specialPrize': 0}, 'rank10': {'prize': 850, 'winners': 93471, 'specialPrize': 0}, 'rank11': {'prize': 670, 'winners': 143957, 'specialPrize': 0}, 'rank12': {'prize': 530, 'winners': 571700, 'specialPrize': 0}, 'rank13': {'prize': 370, 'winners': 1301047, 'specialPrize': 0}}, 'jackpot': '143', 'currency': 'EUR', 'next_jackpot': '17', 'current_jackpot': '143'}"
2025-12-05,9,15,25,34,46,8,12,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 13000000000, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 54897560, 'winners': 2, 'specialPrize': 0}, 'rank3': {'prize': 1832920, 'winners': 14, 'specialPrize': 0}, 'rank4': {'prize': 166510, 'winners': 48, 'specialPrize': 0}, 'rank5': {'prize': 13420, 'winners': 1097, 'specialPrize': 0}, 'rank6': {'prize': 7730, 'winners': 2013, 'specialPrize': 0}, 'rank7': {'prize': 3970, 'winners': 2755, 'specialPrize': 0}, 'rank8': {'prize': 1780, 'winners': 30712, 'specialPrize': 0}, 'rank9': {'prize': 1260, 'winners': 48247, 'specialPrize': 0}, 'rank10': {'prize': 950, 'winners': 119175, 'specialPrize': 0}, 'rank11': {'prize': 830, 'winners': 164376, 'specialPrize': 0}, 'rank12': {'prize': 600, 'winners': 712359, 'specialPrize': 0}, 'rank13': {'prize': 390, 'winners': 1772798, 'specialPrize': 0}}, 'jackpot': '130', 'currency': 'EUR', 'next_jackpot': '143', 'current_jackpot': '130'}"
2025-12-02,4,13,14,20,41,6,12,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 1700000000, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 24965350, 'winners': 2, 'specialPrize': 0}, 'rank3': {'prize': 1296620, 'winners': 9, 'specialPrize': 0}, 'rank4': {'prize': 158030, 'winners': 23, 'specialPrize': 0}, 'rank5': {'prize': 14330, 'winners': 467, 'specialPrize': 0}, 'rank6': {'prize': 7050, 'winners': 1004, 'specialPrize': 0}, 'rank7': {'prize': 4350, 'winners': 1141, 'specialPrize': 0}, 'rank8': {'prize': 1690, 'winners': 14715, 'specialPrize': 0}, 'rank9': {'prize': 1260, 'winners': 21976, 'specialPrize': 0}, 'rank10': {'prize': 880, 'winners': 58195, 'specialPrize': 0}, 'rank11': {'prize': 790, 'winners': 78527, 'specialPrize': 0}, 'rank12': {'prize': 600, 'winners': 326849, 'specialPrize': 0}, 'rank13': {'prize': 360, 'winners': 860109, 'specialPrize': 0}}, 'jackpot': '17', 'currency': 'EUR', 'next_jackpot': '130', 'current_jackpot': '17'}"
2025-11-28,5,29,33,39,42,3,9,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 17865673300, 'winners': 1, 'specialPrize': 0}, 'rank2': {'prize': 20534880, 'winners': 5, 'specialPrize': 0}, 'rank3': {'prize': 3999450, 'winners': 6, 'specialPrize': 0}, 'rank4': {'prize': 124570, 'winners': 60, 'specialPrize': 0}, 'rank5': {'prize': 13060, 'winners': 1054, 'specialPrize': 0}, 'rank6': {'prize': 4870, 'winners': 2987, 'specialPrize': 0}, 'rank7': {'prize': 4600, 'winners': 2222, 'specialPrize': 0}, 'rank8': {'prize': 1100, 'winners': 46143, 'specialPrize': 0}, 'rank9': {'prize': 1140, 'winners': 49711, 'specialPrize': 0}, 'rank10': {'prize': 1030, 'winners': 102915, 'specialPrize': 0}, 'rank11': {'prize': 520, 'winners': 243240, 'specialPrize': 0}, 'rank12': {'prize': 540, 'winners': 749530, 'specialPrize': 0}, 'rank13': {'prize': 420, 'winners': 1533526, 'specialPrize': 0}}, 'jackpot': '178', 'currency': 'EUR', 'next_jackpot': '17', 'current_jackpot': '178'}"
2025-11-25,6,11,17,35,44,3,7,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 16213441267, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank3': {'prize': 7445130, 'winners': 13, 'specialPrize': 0}, 'rank4': {'prize': 78230, 'winners': 73, 'specialPrize': 0}, 'rank5': {'prize': 10680, 'winners': 985, 'specialPrize': 0}, 'rank6': {'prize': 3570, 'winners': 3109, 'specialPrize': 0}, 'rank7': {'prize': 3940, 'winners': 1979, 'specialPrize': 0}, 'rank8': {'prize': 870, 'winners': 44655, 'specialPrize': 0}, 'rank9': {'prize': 970, 'winners': 44650, 'specialPrize': 0}, 'rank10': {'prize': 910, 'winners': 88922, 'specialPrize': 0}, 'rank11': {'prize': 420, 'winners': 231707, 'specialPrize': 0}, 'rank12': {'prize': 490, 'winners': 624136, 'specialPrize': 0}, 'rank13': {'prize': 400, 'winners': 1240535, 'specialPrize': 0}}, 'jackpot': '162', 'currency': 'EUR', 'next_jackpot': '178', 'current_jackpot': '162'}"
2025-11-21,17,19,29,35,48,5,9,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 14951004738, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 18773470, 'winners': 5, 'specialPrize': 0}, 'rank3': {'prize': 2437590, 'winners': 9, 'specialPrize': 0}, 'rank4': {'prize': 101980, 'winners': 67, 'specialPrize': 0}, 'rank5': {'prize': 12170, 'winners': 1034, 'specialPrize': 0}, 'rank6': {'prize': 4640, 'winners': 2862, 'specialPrize': 0}, 'rank7': {'prize': 3980, 'winners': 2348, 'specialPrize': 0}, 'rank8': {'prize': 1100, 'winners': 42501, 'specialPrize': 0}, 'rank9': {'prize': 1050, 'winners': 49206, 'specialPrize': 0}, 'rank10': {'prize': 970, 'winners': 99866, 'specialPrize': 0}, 'rank11': {'prize': 530, 'winners': 221576, 'specialPrize': 0}, 'rank12': {'prize': 520, 'winners': 703948, 'specialPrize': 0}, 'rank13': {'prize': 410, 'winners': 1454386, 'specialPrize': 0}}, 'jackpot': '150', 'currency': 'EUR', 'next_jackpot': '162', 'current_jackpot': '150'}"
