drawing_date,ball1,ball2,ball3,ball4,ball5,starball,bonus,jackpot
2025-01-01,1,2,8,14,30,6,3,19620000
2025-01-04,1,3,17,21,34,4,3,20180000
2025-01-06,15,34,45,50,51,8,5,20370000
2025-01-08,4,15,33,39,41,7,2,20600000
2025-01-11,7,10,16,47,52,1,5,21300000
2025-01-15,2,11,28,40,47,3,2,21740000
2025-01-18,16,28,41,47,52,3,4,21780000
2025-01-20,2,4,22,23,32,5,3,22070000
2025-01-22,8,16,27,32,43,4,3,22120000
2025-01-25,8,31,35,44,46,10,2,22440000
2025-01-27,3,7,21,33,45,2,4,22650000
2025-01-29,9,20,23,42,45,2,2,22890000
2025-02-01,14,15,21,35,52,6,3,22920000
2025-02-03,10,33,35,49,51,3,2,23240000
2025-02-05,4,13,17,44,45,5,2,23290000
2025-02-08,2,5,6,30,50,6,3,23340000
2025-02-10,7,10,13,31,50,5,3,23570000
2025-02-12,6,16,23,27,30,1,2,23620000
2025-02-15,17,29,39,41,52,3,3,23790000
2025-02-17,20,22,24,37,48,5,4,23990000
2025-02-19,3,22,23,35,41,2,3,24190000
2025-02-22,3,24,26,34,35,6,2,24710000
2025-02-24,1,21,30,35,41,3,3,24920000
2025-02-26,8,11,21,27,39,5,3,25150000
2025-03-01,8,9,13,33,41,6,3,25160000
2025-03-03,12,25,29,40,49,3,2,25460000
2025-03-05,10,15,23,35,41,4,2,25510000
2025-03-08,1,30,31,36,43,9,2,25560000
2025-03-10,13,15,34,36,39,10,2,25700000
2025-03-12,4,17,21,28,48,4,3,25920000
2025-03-15,16,39,41,44,51,7,3,26360000
2025-03-17,11,12,20,29,33,8,5,26560000
2025-03-19,4,8,26,34,36,6,2,26780000
2025-03-22,6,21,43,47,52,3,2,26820000
2025-03-24,14,34,35,40,44,4,3,27110000
2025-03-26,16,19,30,37,47,6,2,27210000
2025-03-29,2,21,33,46,52,8,3,27990000
2025-03-31,11,24,33,38,47,1,2,28210000
2025-04-02,12,28,39,41,44,1,3,28460000
2025-04-05,17,26,37,40,51,9,4,28460000
2025-04-07,4,8,13,27,37,7,4,28770000
2025-04-09,12,19,30,42,46,7,2,28820000
2025-04-12,16,24,42,50,52,8,2,30600000
2025-04-14,7,10,13,21,42,10,2,30840000
2025-04-16,2,5,45,47,48,8,2,31110000
2025-04-19,4,11,23,29,36,9,3,31120000
2025-04-21,2,4,13,21,44,8,3,31450000
2025-04-23,18,24,34,40,42,8,3,31500000
2025-04-26,1,9,14,31,34,2,4,31550000
2025-04-28,18,19,32,44,50,10,5,31600000
2025-04-30,5,22,23,24,36,7,4,31790000
2025-05-03,21,23,39,45,50,1,3,32300000
2025-05-05,5,13,20,22,28,5,2,32550000
2025-05-07,3,6,9,13,17,8,2,32810000
2025-05-10,10,12,27,45,51,1,3,33540000
2025-05-12,2,8,9,20,42,3,2,33780000
2025-05-14,8,17,38,42,50,5,2,34050000
2025-05-17,16,18,24,25,34,2,4,34740000
2025-05-19,4,24,25,45,47,2,2,34980000
2025-05-21,1,14,15,19,31,9,3,35250000
2025-05-24,8,19,24,28,49,1,2,36390000
2025-05-26,2,13,25,37,42,1,2,36620000
2025-05-28,4,6,8,33,35,5,2,36890000
2025-05-31,5,11,23,40,47,10,2,36930000
2025-06-02,5,7,20,28,35,3,3,37270000
2025-06-04,1,6,26,41,51,8,2,37320000
2025-06-07,1,17,19,36,43,3,2,37370000
2025-06-09,6,14,35,44,49,5,2,2000000
2025-06-11,4,12,13,20,26,4,2,2050000
2025-06-14,19,22,26,31,51,9,2,2100000
2025-06-16,4,19,35,43,51,1,3,2150000
2025-06-18,11,18,25,29,32,9,3,2200000
2025-06-21,4,6,14,37,43,2,2,2250000
2025-06-23,16,18,26,40,46,7,2,2300000
2025-06-25,12,14,25,30,42,4,2,2350000
2025-06-28,6,25,26,37,45,1,3,2400000
2025-06-30,5,8,18,32,46,4,3,2450000
2025-07-02,8,19,20,21,39,7,4,2500000
2025-07-05,8,10,36,43,45,9,2,2550000
2025-07-07,8,18,27,31,41,9,3,2600000
2025-07-09,2,10,27,30,50,5,2,2650000
2025-07-12,2,10,12,21,45,3,5,2700000
2025-07-14,9,30,35,43,49,8,2,2750000
2025-07-16,5,35,37,46,50,9,2,2800000
2025-07-19,4,25,32,42,51,10,2,2850000
2025-07-21,5,7,13,47,52,6,2,2980000
2025-07-23,4,32,36,39,52,1,2,3130000
2025-07-26,8,16,20,35,48,8,4,3290000
2025-07-28,8,12,23,25,31,10,2,3410000
2025-07-30,9,13,26,43,51,4,3,3560000
2025-08-02,7,16,22,31,39,6,2,3720000
2025-08-04,1,8,18,22,42,8,2,3860000
2025-08-06,26,29,30,33,40,1,2,4010000
2025-08-09,1,9,24,37,40,1,3,2000000
2025-08-11,1,9,23,25,42,3,4,2050000
2025-08-13,17,23,27,45,52,3,3,2100000
2025-08-16,9,15,34,45,47,4,2,2150000
2025-08-18,2,7,26,30,49,2,3,2200000
2025-08-20,3,12,27,35,39,6,3,2250000
2025-08-23,1,6,11,28,31,10,3,2300000
2025-08-25,1,4,5,10,28,8,2,2350000
2025-08-27,12,13,25,40,52,9,5,2400000
2025-08-30,10,16,19,21,45,2,5,2450000
2025-09-01,4,10,11,23,32,3,2,2500000
2025-09-03,15,31,34,51,52,5,3,2550000
2025-09-06,3,9,35,39,48,1,2,2600000
2025-09-08,3,9,37,44,47,4,4,2650000
2025-09-10,14,24,38,49,50,5,3,2700000
2025-09-13,20,24,25,28,46,1,3,2750000
2025-09-15,14,16,17,33,43,3,2,2800000
2025-09-17,8,33,36,45,51,2,3,2920000
2025-09-20,2,13,17,36,42,8,3,3130000
2025-09-22,2,5,34,41,44,10,4,3260000
2025-09-24,6,24,27,35,46,2,5,3400000
2025-09-27,2,12,20,34,43,7,2,3600000
2025-09-29,5,38,49,51,52,8,2,3730000
2025-10-01,12,28,42,44,48,3,2,3880000
2025-10-04,9,27,28,45,51,6,2,4040000
2025-10-06,3,11,21,25,32,6,3,4170000
2025-10-08,4,10,15,17,19,10,3,4330000
2025-10-11,1,17,31,35,39,3,2,4530000
2025-10-13,5,8,10,39,47,9,3,4660000
2025-10-15,8,24,33,46,47,4,4,4810000
2025-10-18,12,26,27,32,35,2,2,4940000
2025-10-20,20,32,35,43,51,4,2,5070000
2025-10-22,4,15,28,33,35,6,2,5220000
2025-10-25,2,31,33,35,50,7,2,5400000
2025-10-27,12,21,27,35,39,2,4,5530000
2025-10-29,21,33,40,42,50,5,2,5680000
2025-11-01,8,11,23,31,47,6,2,5920000
2025-11-03,7,11,19,25,50,10,3,6060000
2025-11-05,1,26,35,50,51,5,3,6220000
2025-11-08,15,21,23,37,52,5,2,6500000
2025-11-10,6,14,17,26,28,3,2,6640000
2025-11-12,9,30,31,34,39,2,3,6800000
2025-11-15,14,21,40,43,48,8,3,7000000
2025-11-17,2,20,28,36,46,2,2,7140000
2025-11-19,12,31,39,40,42,8,2,7300000
2025-11-22,4,12,19,20,50,4,3,7590000
2025-11-24,1,5,8,19,50,6,4,7740000
2025-11-26,7,19,25,26,28,7,2,7920000
2025-11-29,1,15,18,21,46,6,2,8050000
2025-12-01,5,27,37,43,47,5,2,8200000
2025-12-03,14,19,27,30,41,10,3,8380000
2025-12-06,7,8,14,23,41,9,2,8720000
2025-12-08,7,10,32,33,35,3,2,8880000
2025-12-10,3,13,37,42,44,1,3,9070000
2025-12-13,20,26,27,32,46,8,2,9390000
2025-12-15,8,11,29,36,50,7,2,9580000
